City,Latitude,Longitude,Solar_Irradiance_kWh/m²/day,Wind_Speed_m/s,PV_Power_kW,Wind_Power_kW,System_Efficiency_%,Hydrogen_Production_kg/day,Feasibility_Score,Latitude_Band
City 27,-34.04,74.55,4.28,10.91,756.14,24432.07,78.96,359.14,4.65,Subtropical
City 28,6.85,-161.92,6.36,3.93,1103.12,1154.27,77.44,34.9,2.72,Equatorial
City 29,17.01,-153.76,5.42,9.07,950.59,13616.69,71.06,199.25,4.04,Tropical
City 30,-53.96,-34.97,3.09,8.91,551.77,12781.42,79.82,202.22,3.76,Temperate
City 31,18.98,-73.7,6.47,9.58,1157.16,16079.74,77.31,250.09,4.46,Tropical
City 32,-37.83,-96.34,4.75,7.73,815.6,8888.07,78.51,145.34,3.61,Subtropical
City 33,-51.54,-78.84,3.82,10.92,662.91,23646.43,70.48,321.43,4.45,Temperate
City 34,63.36,109.25,1.86,14.02,321.92,50685.2,75.05,716.61,5.57,Polar
City 35,65.53,154.52,1.84,10.07,313.09,19068.65,76.99,282.43,3.96,Polar
City 36,45.09,-34.16,2.42,9.06,426.59,13480.29,75.43,194.61,3.65,Temperate
City 37,-20.4,146.2,5.17,9.26,922.61,14607.15,76.67,218.6,4.14,Tropical
City 38,-47.3,-64.26,4.17,8.4,724.32,11739.48,78.18,186.24,3.75,Temperate
City 39,28.95,-8.48,5.23,3.59,928.15,836.57,73.74,25.62,2.42,Tropical
City 40,-2.78,-98.63,6.69,9.64,1180.11,17271.87,78.49,265.11,4.54,Equatorial
City 41,-44.14,50.57,3.9,7.24,677.55,7120.15,71.63,100.9,3.23,Subtropical
City 42,4.37,172.43,6.35,4.83,1088.36,2185.48,72.71,44.02,2.91,Equatorial
City 43,-55.53,37.26,3.22,12.44,569.41,36945.46,70.43,527.39,5.04,Temperate
City 44,58.21,-51.19,3.31,8.3,590.65,10547.49,73.64,161.24,3.52,Temperate
City 45,-26.36,53.21,4.35,4.12,768.8,1373.5,73.8,30.34,2.43,Tropical
City 46,26.13,-135.75,5.32,7.25,905.5,7225.76,78.05,126.04,3.54,Tropical
City 47,-19.48,139.92,6.1,1.47,1050.67,61.78,76.53,16.08,2.03,Tropical
City 48,7.61,1.11,6.26,4.04,1068.52,1241.48,74.37,34.3,2.7,Equatorial
City 49,11.07,-18.23,6.58,5.72,1155.3,3736.92,76.52,69.6,3.24,Equatorial
City 50,-35.97,30.91,5.89,6.92,1045.77,6481.02,70.53,98.1,3.42,Subtropical
City 51,66.05,44.92,2.32,6.75,397.75,6119.03,71.8,90.2,2.87,Polar
City 52,40.77,-154.16,4.34,12.06,774.71,33395.24,76.27,488.81,5.11,Subtropical
City 53,62.13,65.74,2.28,10.47,400.53,21761.03,76.41,326.03,4.18,Polar
City 54,56.33,-92.9,3.15,13.21,556.83,44983.02,77.74,658.85,5.49,Temperate
City 55,17.73,77.02,5.99,5.12,1076.35,2656.28,74.03,53.15,2.95,Tropical
City 56,59.84,116.11,2.91,7.78,496.86,9400.15,77.23,141.79,3.34,Temperate
City 57,-48.5,109.43,3.1,9.52,554.12,16103.41,76.84,231.7,3.93,Temperate
City 58,-34.52,18.9,4.69,6.91,802.64,6473.69,79.63,114.87,3.36,Subtropical
City 59,-54.12,7.26,3.94,6.47,685.75,4983.77,72.15,80.86,3.02,Temperate
City 60,-17.71,-128.56,5.98,9.45,1068.38,16086.48,75.52,258.34,4.35,Tropical
City 61,-9.47,99.12,6.82,3.39,1220.84,716.22,76.02,28.62,2.62,Equatorial
City 62,-24.72,-82.29,5.15,1.87,901.71,122.6,79.99,15.87,2.03,Tropical
City 63,47.74,-1.19,4.03,12.09,709.65,35135.72,72.01,493.49,5.04,Temperate
City 64,-13.62,-77.66,6.19,4.1,1095.44,1262.06,75.23,32.37,2.71,Equatorial
City 65,-23.48,-131.82,4.88,4.83,870.43,2168.43,73.46,41.03,2.7,Tropical
City 66,10.55,46.64,6.42,1.0,1099.33,19.19,75.26,15.64,1.94,Equatorial
City 67,-41.68,-160.44,3.59,12.52,638.77,35802.08,72.32,521.3,5.12,Subtropical
City 68,44.29,89.51,3.58,5.2,626.45,2629.97,70.48,42.1,2.58,Subtropical
City 69,-50.31,-65.67,3.57,9.18,623.52,14781.57,75.73,231.51,3.9,Temperate
City 70,68.3,-179.95,2.37,13.11,412.59,41412.14,73.36,584.36,5.2,Polar
City 71,40.39,4.01,3.58,9.09,626.47,14739.18,71.82,214.43,3.82,Subtropical
City 72,-34.17,-163.13,5.14,7.27,921.53,7655.7,73.24,114.46,3.45,Subtropical
City 73,-59.28,-80.58,3.14,5.67,550.36,3366.61,70.49,51.19,2.65,Temperate
City 74,46.01,74.51,3.43,6.58,615.24,5226.62,79.5,92.51,3.06,Temperate
City 75,31.89,-157.43,4.0,7.66,687.01,8494.63,75.81,129.0,3.43,Subtropical
City 76,34.77,122.16,4.49,5.51,796.45,3259.8,78.15,58.94,2.89,Subtropical
City 77,40.27,-178.62,3.96,8.53,705.09,11541.18,74.23,167.22,3.69,Subtropical
City 78,-50.37,-91.14,3.53,10.74,624.14,22359.36,79.03,331.65,4.46,Temperate
City 79,-13.4,86.73,5.88,7.75,1035.37,8869.53,74.83,136.88,3.72,Equatorial
City 80,-44.94,-66.14,2.85,5.43,500.72,3185.09,75.74,53.84,2.6,Subtropical
City 81,52.2,-143.32,3.15,14.71,562.9,59808.96,74.92,855.32,6.12,Temperate
City 82,21.03,-50.32,5.38,8.02,957.95,9724.47,77.33,157.85,3.78,Tropical
City 83,-16.98,-82.66,6.13,5.69,1049.25,3680.77,75.67,65.3,3.15,Tropical
City 84,-51.74,123.38,3.03,11.9,540.68,32654.0,72.72,473.2,4.82,Temperate
City 85,-19.57,-67.19,6.47,11.87,1126.56,32515.74,71.46,470.4,5.29,Tropical
City 86,-17.73,104.02,4.8,2.18,828.76,197.01,76.06,14.08,2.01,Tropical
City 87,34.85,141.07,5.22,6.92,932.12,6615.59,74.89,106.08,3.38,Subtropical
City 88,22.88,-23.83,5.29,1.0,921.47,19.38,70.96,12.11,1.73,Tropical
City 89,55.34,147.58,3.56,10.02,633.29,19881.6,73.96,297.13,4.18,Temperate
City 90,1.39,-44.17,6.94,5.05,1198.55,2501.7,75.15,54.15,3.09,Equatorial
City 91,-44.45,167.07,4.46,8.35,758.05,11324.53,78.27,187.28,3.78,Subtropical
City 92,32.72,-147.86,4.52,5.64,790.06,3326.16,70.76,53.81,2.84,Subtropical
City 93,38.9,67.33,3.73,2.77,637.42,393.94,73.48,14.33,1.98,Subtropical
City 94,12.97,-2.23,6.8,6.23,1207.76,4732.13,78.23,85.35,3.44,Equatorial
City 95,40.23,-40.45,4.13,11.66,713.06,29483.86,76.48,432.87,4.9,Subtropical
City 96,4.19,47.78,6.82,2.94,1189.18,486.91,72.9,23.27,2.47,Equatorial
City 97,7.96,73.39,7.06,5.9,1206.43,3790.9,78.45,70.99,3.37,Equatorial
City 98,-4.42,-178.43,6.17,1.0,1067.39,19.63,74.93,15.83,1.9,Equatorial
City 99,-56.7,-119.9,3.33,10.81,591.96,23033.54,74.98,338.12,4.42,Temperate
City 100,-45.97,76.7,3.49,7.61,598.05,8677.41,79.77,145.44,3.41,Temperate
City 101,-55.91,59.9,3.02,7.69,532.93,8718.06,79.47,136.33,3.35,Temperate
City 102,22.73,167.78,5.44,4.37,975.57,1535.91,73.59,36.6,2.66,Tropical
City 103,-19.13,93.97,4.91,4.93,868.17,2285.8,71.41,45.04,2.71,Tropical
City 104,6.11,162.28,6.18,5.57,1101.18,3203.88,73.26,62.57,3.1,Equatorial
City 105,57.98,72.91,3.62,6.52,618.78,5163.47,70.3,79.5,2.97,Temperate
City 106,-27.59,-72.7,5.51,5.77,950.8,3586.16,70.21,62.51,3.02,Tropical
City 107,-6.65,-142.07,6.5,4.56,1163.71,1720.26,73.96,40.84,2.87,Equatorial
City 108,38.22,101.46,4.45,5.07,787.62,2609.86,79.41,49.59,2.77,Subtropical
City 109,-30.26,51.89,4.73,11.52,835.22,27595.74,78.71,433.13,4.97,Subtropical
City 110,-49.99,-162.65,4.18,6.87,738.14,6253.74,75.11,102.02,3.21,Temperate
City 111,-22.33,-50.38,5.34,4.56,929.32,1776.72,75.65,40.88,2.72,Tropical
City 112,-39.04,164.45,4.38,5.46,747.07,3137.35,70.06,51.93,2.77,Subtropical
City 113,60.86,0.14,3.31,14.58,589.16,58023.93,72.16,784.21,5.98,Polar
City 114,45.06,-24.22,3.46,9.89,611.23,18703.7,70.25,262.78,4.05,Temperate
City 115,22.34,-15.23,6.22,3.89,1086.01,1147.85,77.55,34.57,2.69,Tropical
City 116,53.29,-104.8,2.5,12.09,448.3,34288.58,71.46,455.59,4.76,Temperate
City 117,44.48,-47.27,4.7,8.95,815.04,13065.65,78.69,203.73,3.99,Subtropical
City 118,-35.75,-46.87,4.31,8.22,745.64,10718.2,76.43,167.22,3.68,Subtropical
City 119,56.03,-161.15,2.96,8.74,528.38,12399.98,72.29,171.42,3.58,Temperate
City 120,10.11,96.32,5.35,3.14,951.6,557.93,71.58,19.5,2.29,Equatorial
City 121,44.97,-30.06,3.62,9.34,634.9,15347.65,76.28,227.65,3.95,Subtropical
City 122,56.49,115.98,2.53,8.29,432.67,10735.28,79.01,174.1,3.48,Temperate
City 123,-18.66,126.13,5.39,10.41,927.89,21346.79,77.18,310.96,4.6,Tropical
City 124,-45.69,-103.68,3.73,5.4,659.07,3049.7,73.49,51.4,2.69,Temperate
City 125,-30.37,56.65,5.35,10.88,930.64,23959.69,75.87,368.72,4.78,Subtropical
City 126,-4.48,-9.98,6.79,4.17,1211.18,1350.26,73.11,37.28,2.8,Equatorial
City 127,46.34,136.86,3.91,9.38,701.83,14964.35,79.99,250.27,4.07,Temperate
City 128,51.89,-102.33,2.82,11.27,502.05,27749.78,77.49,412.53,4.6,Temperate
City 129,-59.1,64.01,2.42,8.33,421.04,11076.53,76.14,174.22,3.44,Temperate
City 130,6.4,38.79,7.45,6.8,1325.54,5880.39,74.23,96.66,3.65,Equatorial
City 131,-5.74,-73.69,6.23,1.0,1081.14,19.41,76.18,16.34,1.93,Equatorial
City 132,-31.13,-130.82,5.65,5.31,969.82,2860.13,73.42,54.23,2.95,Subtropical
City 133,-44.42,54.59,3.77,6.13,642.03,4365.82,70.29,65.12,2.87,Subtropical
City 134,-16.11,85.9,5.87,2.48,1021.14,289.18,73.95,18.43,2.22,Tropical
City 135,62.58,-66.37,3.15,9.72,564.8,17701.09,79.3,264.5,4.06,Polar
City 136,-17.98,52.14,6.38,6.76,1099.35,5975.51,76.26,106.52,3.52,Tropical
City 137,7.44,-37.75,6.42,6.5,1105.28,5104.15,70.84,82.33,3.37,Equatorial
City 138,31.39,76.75,4.61,7.74,828.12,8481.57,78.85,141.32,3.59,Subtropical
City 139,-12.73,-108.28,6.08,3.61,1035.3,860.55,72.69,25.24,2.53,Equatorial
City 140,66.33,140.48,2.53,11.56,449.23,29748.79,72.44,402.77,4.56,Polar
City 141,65.12,-76.53,2.89,10.82,500.13,25029.94,72.97,372.29,4.39,Polar
City 142,-27.27,-47.6,5.09,9.07,867.78,14027.59,75.77,220.16,4.07,Tropical
City 143,4.64,-159.09,6.98,6.41,1251.47,4822.3,75.45,91.3,3.49,Equatorial
City 144,-20.89,-139.86,6.36,6.16,1089.6,4571.72,74.91,78.85,3.31,Tropical
City 145,-22.97,5.71,5.58,4.05,979.86,1310.16,77.18,32.39,2.63,Tropical
City 146,-55.2,-83.67,3.29,7.89,568.58,9699.04,73.17,142.78,3.38,Temperate
City 147,19.24,120.77,4.89,4.55,835.09,1809.69,77.82,39.08,2.67,Tropical
City 148,5.35,-174.71,5.31,3.75,905.39,1037.22,71.75,25.58,2.45,Equatorial
City 149,-53.31,-43.53,3.46,10.0,592.65,18035.71,77.83,282.22,4.18,Temperate
City 150,-23.78,-58.56,5.29,8.17,902.78,9916.77,76.64,155.25,3.79,Tropical
City 151,58.07,-173.04,2.68,9.68,475.52,16492.91,76.83,239.53,3.92,Temperate
City 152,-28.86,-135.23,5.1,6.93,892.07,6453.79,74.82,102.57,3.36,Tropical
City 153,-41.16,-31.09,4.09,8.47,709.04,11040.27,76.67,172.3,3.72,Subtropical
City 154,3.63,-2.57,7.31,3.07,1273.26,551.22,70.8,25.13,2.56,Equatorial
City 155,68.13,-34.46,2.27,8.5,407.64,11634.75,78.52,179.31,3.5,Polar
City 156,-28.53,11.14,4.63,2.46,829.13,278.8,70.56,14.89,2.0,Tropical
City 157,27.38,34.25,5.58,5.0,988.3,2467.44,71.49,45.15,2.83,Tropical
City 158,39.01,-176.43,4.16,9.08,744.13,13748.0,75.77,217.73,3.94,Subtropical
City 159,-29.11,-12.93,5.23,5.15,905.08,2560.04,77.39,53.25,2.89,Tropical
City 160,34.67,166.86,4.33,6.87,753.39,6344.76,70.76,97.28,3.19,Subtropical
City 161,-12.19,6.85,5.82,6.38,1025.46,4701.1,79.21,81.81,3.34,Equatorial
City 162,22.2,63.92,5.49,7.52,967.2,8232.6,79.74,139.92,3.67,Tropical
City 163,22.36,-67.73,5.44,3.54,951.23,868.77,76.06,26.66,2.46,Tropical
City 164,9.65,98.64,6.56,7.46,1142.24,8239.42,74.81,140.3,3.75,Equatorial
City 165,-48.26,98.25,3.49,11.64,627.23,31188.81,77.41,492.41,4.9,Temperate
City 166,48.59,7.67,2.68,6.03,477.71,4095.43,73.28,66.07,2.72,Temperate
City 167,-18.3,171.36,5.5,3.77,959.4,1027.54,74.93,26.99,2.52,Tropical
City 168,-35.75,-134.8,4.89,10.55,867.61,21335.97,79.16,349.89,4.64,Subtropical
City 169,-54.7,-173.9,3.02,9.1,521.95,13965.76,79.56,221.59,3.83,Temperate
City 170,16.82,97.26,5.7,1.0,974.66,18.19,79.27,15.43,1.88,Tropical
City 171,28.08,110.58,5.53,3.31,959.13,675.09,72.62,22.33,2.38,Tropical
City 172,-57.84,-136.73,2.59,9.16,451.6,15184.29,72.32,210.79,3.69,Temperate
City 173,6.57,-84.39,5.77,1.75,981.61,100.12,72.98,14.94,2.01,Equatorial
City 174,-30.56,-173.68,4.78,6.02,851.69,4176.34,74.41,68.45,3.03,Subtropical
City 175,23.87,-74.41,5.09,6.47,883.03,5105.7,73.14,81.97,3.19,Tropical
City 176,-37.33,98.33,3.9,11.39,686.27,27945.61,73.74,416.26,4.75,Subtropical
City 177,29.82,6.47,4.82,6.26,823.78,4882.12,76.21,78.6,3.13,Tropical
City 178,-9.72,-54.69,6.57,7.65,1127.55,8336.12,77.63,134.45,3.82,Equatorial
City 179,61.77,-46.17,2.67,13.75,477.85,50047.91,77.36,713.3,5.63,Polar
City 180,-42.12,-179.51,4.2,11.8,740.43,30939.21,78.14,465.56,5.01,Subtropical
City 181,-15.66,-72.07,6.81,6.28,1222.49,4484.17,70.32,80.24,3.36,Tropical
City 182,-45.25,52.73,3.66,3.62,658.96,897.79,70.48,20.13,2.16,Temperate
City 183,60.21,170.71,2.92,11.17,508.03,27375.72,77.89,397.27,4.57,Polar
City 184,54.05,124.94,2.96,12.03,512.32,31653.38,75.33,480.5,4.88,Temperate
City 185,-26.47,-171.51,4.72,6.44,843.64,4854.03,75.78,85.34,3.17,Tropical
City 186,25.8,143.48,4.9,10.94,882.24,23978.64,70.53,316.73,4.6,Tropical
City 187,46.24,101.95,3.52,10.77,621.25,24419.83,72.55,354.34,4.44,Temperate
City 188,12.18,100.94,6.33,6.64,1125.97,5689.11,76.38,100.52,3.47,Equatorial
City 189,8.85,-15.12,7.5,7.6,1333.63,8402.3,78.59,149.48,3.98,Equatorial
City 190,-28.56,-36.72,4.64,7.69,805.78,8609.28,79.17,141.54,3.58,Tropical
City 191,-47.9,-70.95,3.44,2.56,604.37,330.88,75.0,14.02,1.9,Temperate
City 192,56.64,-156.35,3.0,8.42,535.66,11643.63,75.45,166.22,3.53,Temperate
City 193,57.05,-97.84,3.2,12.7,566.74,40181.61,78.33,589.49,5.27,Temperate
City 194,22.3,-91.22,5.57,4.21,948.17,1465.9,75.38,34.2,2.65,Tropical
City 195,-15.93,-5.73,6.53,5.03,1131.6,2460.09,75.17,51.03,3.02,Tropical
City 196,-14.6,89.08,4.76,2.85,816.87,437.05,79.05,19.67,2.21,Equatorial
City 197,34.37,-9.43,3.4,11.9,585.98,33223.89,77.9,503.58,4.97,Subtropical
City 198,56.62,-159.18,2.79,13.87,499.27,52926.56,79.09,764.4,5.77,Temperate
City 199,55.32,164.8,3.68,7.32,626.3,7085.81,72.18,104.74,3.23,Temperate
City 200,41.38,159.38,3.32,8.51,571.75,11143.6,75.24,166.01,3.6,Subtropical
City 201,23.46,102.67,3.85,4.65,667.06,1996.37,78.42,41.63,2.56,Tropical
City 202,-49.06,176.88,3.85,10.44,678.47,21134.33,71.11,297.79,4.31,Temperate
City 203,-38.99,16.01,4.39,9.17,770.21,15241.74,77.95,240.52,4.05,Subtropical
City 204,56.81,166.6,2.48,11.71,426.68,30155.23,71.83,426.74,4.62,Temperate
City 205,18.84,-152.78,5.19,6.71,890.61,5518.29,78.08,97.78,3.34,Tropical
City 206,-58.8,-48.35,2.4,17.22,413.48,92716.56,76.12,1366.07,7.4,Temperate
City 207,-46.81,-98.86,3.78,6.11,661.36,4179.36,71.93,64.33,2.88,Temperate
City 208,26.26,-109.5,4.85,2.35,837.48,239.79,74.73,15.9,2.05,Tropical
City 209,-59.34,-129.31,3.09,8.95,555.14,13611.69,76.82,211.83,3.76,Temperate
City 210,-39.09,44.07,2.84,3.99,495.28,1232.06,76.34,25.69,2.2,Subtropical
City 211,11.34,101.28,5.78,1.4,985.67,55.09,74.27,15.45,1.94,Equatorial
City 212,29.95,28.19,4.34,4.49,769.58,1710.81,78.99,38.41,2.59,Tropical
City 213,24.75,-127.09,5.14,4.17,890.53,1380.38,75.19,33.57,2.58,Tropical
City 214,-30.84,112.0,4.57,4.7,807.09,1974.59,75.06,41.55,2.64,Subtropical
City 215,32.58,48.94,5.12,8.55,884.39,11941.03,70.62,165.78,3.82,Subtropical
City 216,-29.16,-40.26,4.03,5.65,707.98,3433.81,79.22,62.33,2.87,Tropical
City 217,-17.7,62.69,5.78,5.32,1027.92,2714.44,71.77,51.47,2.95,Tropical
City 218,37.04,-86.43,4.69,9.94,840.12,17681.17,75.28,260.16,4.29,Subtropical
City 219,24.45,-55.73,6.22,4.53,1073.07,1690.78,78.04,42.44,2.86,Tropical
City 220,50.4,150.29,3.23,8.38,560.12,10706.58,72.15,158.73,3.51,Temperate
City 221,25.49,-75.42,5.38,7.46,939.22,8069.11,75.27,131.83,3.58,Tropical
City 222,13.88,-10.8,5.13,1.0,919.03,18.41,72.41,13.57,1.73,Equatorial
City 223,-47.82,140.45,2.46,2.82,439.74,443.78,77.6,12.7,1.85,Temperate
City 224,-12.2,74.78,6.57,6.08,1122.57,4474.02,75.64,82.43,3.34,Equatorial
City 225,-25.52,-157.61,5.21,7.78,892.67,9404.23,78.56,154.53,3.7,Tropical
City 226,-28.28,-126.97,5.61,11.99,981.42,34252.39,78.95,518.09,5.34,Tropical
City 227,66.49,-177.18,1.66,11.04,283.78,24981.67,76.49,354.05,4.28,Polar
City 228,-8.9,47.13,6.64,6.94,1151.25,6354.86,77.25,114.77,3.62,Equatorial
City 229,55.97,-18.84,4.02,9.11,688.81,13864.87,75.49,210.85,3.91,Temperate
City 230,22.05,-131.66,5.67,6.95,999.34,6577.88,73.84,109.95,3.45,Tropical
City 231,43.33,164.86,4.11,12.5,736.92,38633.07,76.48,574.83,5.31,Subtropical
City 232,5.34,10.68,6.63,1.0,1193.23,19.7,79.08,17.69,2.01,Equatorial
City 233,15.0,-92.92,5.16,6.53,897.38,5262.5,74.17,85.32,3.24,Equatorial
City 234,4.03,0.22,7.4,9.74,1301.6,18043.66,73.14,265.5,4.61,Equatorial
City 235,-34.62,64.66,4.27,8.17,762.69,9911.33,73.88,157.3,3.62,Subtropical
City 236,33.92,-152.55,4.88,11.52,834.98,27629.72,74.35,381.2,4.88,Subtropical
City 237,-23.5,-81.11,4.57,4.78,809.03,2126.3,70.74,41.47,2.62,Tropical
City 238,-56.84,110.51,2.43,9.6,423.3,16697.58,74.98,256.26,3.87,Temperate
City 239,23.91,-14.52,6.04,6.47,1039.9,5426.83,74.94,96.89,3.37,Tropical
City 240,-36.98,16.77,4.24,2.15,737.54,181.73,75.88,13.22,1.92,Subtropical
City 241,62.26,-24.19,3.37,7.31,575.2,7685.41,73.63,121.2,3.22,Polar
City 242,64.01,-164.2,2.48,7.66,438.87,8517.93,76.13,128.14,3.22,Polar
City 243,58.93,-120.33,1.95,11.95,337.08,33526.41,78.78,481.61,4.76,Temperate
City 244,-11.88,-19.61,6.61,7.37,1145.06,7854.52,79.55,132.09,3.77,Equatorial
City 245,-57.99,-104.69,2.65,10.61,452.97,23681.46,75.84,364.05,4.32,Temperate
City 246,60.68,-162.01,3.1,12.13,554.1,33175.92,70.43,428.24,4.8,Polar
City 247,-4.34,123.71,6.71,4.02,1173.65,1295.89,79.69,37.57,2.82,Equatorial
City 248,65.67,173.23,1.63,13.57,286.76,45750.79,77.06,643.93,5.33,Polar
City 249,65.27,105.53,2.51,10.55,441.56,21322.97,73.36,296.54,4.16,Polar
City 250,50.89,127.36,4.54,9.23,789.69,14850.98,71.47,203.18,3.97,Temperate
City 251,-21.72,-92.89,5.73,5.51,984.44,3284.99,71.43,60.14,3.0,Tropical
City 252,-9.94,165.83,6.28,6.7,1113.62,5710.91,71.68,93.83,3.43,Equatorial
City 253,50.65,-109.11,3.99,8.01,683.77,10109.72,70.46,150.6,3.5,Temperate
City 254,-18.8,162.51,5.79,8.32,990.2,11211.66,79.02,186.83,3.97,Tropical
City 255,-37.97,178.13,4.45,4.97,787.6,2256.01,75.41,45.77,2.7,Subtropical
City 256,12.38,76.22,5.59,2.49,961.51,307.6,77.0,18.59,2.22,Equatorial
City 257,61.7,173.21,2.8,11.89,484.23,30449.87,78.28,466.81,4.83,Polar
City 258,30.48,25.03,5.38,6.83,940.84,6299.19,77.92,108.04,3.41,Subtropical
City 259,14.11,-86.56,5.59,4.28,976.19,1454.97,78.83,36.35,2.71,Equatorial
City 260,-47.37,-22.68,4.4,10.96,778.57,25027.18,79.67,404.87,4.76,Temperate
City 261,19.95,33.68,5.56,4.48,979.44,1690.96,74.39,38.32,2.71,Tropical
City 262,68.71,-153.69,1.75,10.37,308.18,20457.25,79.5,323.62,4.11,Polar
City 263,-41.79,44.04,4.57,11.68,810.17,29799.65,77.23,462.72,5.02,Subtropical
City 264,7.38,173.22,6.34,8.59,1096.32,11638.0,70.71,165.51,4.0,Equatorial
City 265,54.06,-111.56,3.6,13.34,622.85,43667.73,76.82,656.66,5.57,Temperate
City 266,36.3,105.33,4.31,6.92,752.12,6101.06,76.87,96.92,3.26,Subtropical
City 267,30.61,146.84,4.83,10.14,835.47,19774.39,79.06,312.3,4.47,Subtropical
City 268,31.32,159.73,5.05,4.76,908.99,2113.3,73.73,43.13,2.71,Subtropical
City 269,-13.27,165.65,6.22,3.06,1107.47,548.01,75.85,25.11,2.45,Equatorial
City 270,-21.83,7.73,4.47,1.0,767.93,19.79,70.12,9.98,1.6,Tropical
City 271,45.22,171.83,3.27,12.7,556.8,39514.73,73.32,534.21,5.16,Temperate
City 272,45.31,92.63,4.29,6.37,731.59,5012.5,70.62,73.64,3.02,Temperate
City 273,52.72,-121.8,3.24,8.96,559.32,13887.83,75.22,204.26,3.75,Temperate
City 274,58.72,-8.32,2.63,7.6,449.7,8284.11,78.17,134.12,3.25,Temperate
City 275,6.47,78.6,5.87,6.39,1028.77,5045.23,72.06,86.18,3.28,Equatorial
City 276,5.2,-90.96,6.1,3.58,1088.68,832.72,75.27,28.17,2.56,Equatorial
City 277,43.78,50.62,2.92,5.12,518.73,2640.22,72.04,45.04,2.48,Subtropical
City 278,24.5,59.98,5.23,7.55,901.18,8428.47,71.21,123.87,3.53,Tropical
City 279,31.26,-121.43,4.51,3.54,785.21,821.14,75.11,21.93,2.31,Subtropical
City 280,43.45,23.43,3.47,6.25,608.4,4773.65,70.79,69.02,2.87,Subtropical
City 281,55.7,97.79,3.07,4.3,546.22,1435.98,75.87,29.63,2.32,Temperate
City 282,-16.06,-0.4,6.06,2.05,1080.65,157.93,70.31,16.95,2.1,Tropical
City 283,-11.17,-175.64,7.26,5.56,1301.03,3122.52,71.07,60.98,3.23,Equatorial
City 284,-47.78,-176.75,2.9,3.87,507.64,1131.01,75.5,23.11,2.17,Temperate
City 285,15.18,-51.47,6.52,1.81,1153.2,116.62,75.91,18.08,2.17,Tropical
City 286,-55.33,153.43,3.61,9.53,618.36,16970.9,70.29,246.23,3.96,Temperate
City 287,0.53,-97.68,6.57,2.69,1154.66,352.02,75.73,20.68,2.4,Equatorial
City 288,10.54,48.37,6.36,10.03,1097.63,19199.66,78.39,311.0,4.65,Equatorial
City 289,-22.75,-100.05,5.18,10.86,902.74,24858.35,77.22,370.4,4.77,Tropical
City 290,16.81,-64.2,5.92,3.51,1043.28,792.52,71.31,23.67,2.47,Tropical
