Operating_Temperature_C,Current_Density_mA_cm2,Cell_Voltage_V,Cathode_Pressure_bar,Anode_Pressure_bar,Anode_Catalyst_Type,Anode_Catalyst_Loading_mg_cm2,Cathode_Catalyst_Type,Cathode_Catalyst_Loading_mg_cm2,Membrane_Type,Membrane_Thickness_um,Membrane_Water_Content_lambda,Water_Flow_Rate_mL_min,Water_Flow_Rate_L_min,Power_Density_W_cm2,H2_Production_Rate_mL_min,H2_Production_Rate_NL_h,Energy_Efficiency_percent,Temp_x_CurrentDensity,CurrentDensity_per_MembraneThickness,Pressure_Differential,Anode_Catalyst_Activity,Membrane_Resistance_Index,Power_per_Temperature,Cathode_Catalyst_Efficiency,Voltage_per_Temperature,Current_Efficiency,Total_Catalyst_Loading
32.14,3374.55,2.18,16.07,1.75,IrRuOx,1.63,Pt/C,0.09,Nafion_115,127.89,23.15,44840.71,44.84,7.34,587.58,35.25,68.03,108458.03700000001,26.386347642505278,14.32,2.247863062276659,5.524406047516199,0.2283758556316117,1.4463,0.06782825140012445,0.17412099391029914,1.72
75.93,2552.56,1.93,12.14,2.2,Ir_black,1.4,Pt/C,0.12,Nafion_212,53.69,14.97,52855.18,52.86,4.93,444.45,26.67,76.62,193815.8808,47.54255913577948,9.940000000000001,2.9914919312570993,3.586506346025384,0.06492822336362439,1.4568,0.025418148294481756,0.17411931551070298,1.52
70.4,5487.64,2.5,13.7,2.43,IrO2,2.19,Pt/C,0.14,Nafion_212,51.81,15.73,151167.1,151.17,13.72,955.51,57.33,59.2,386329.856,105.91854854275236,11.27,4.427794231113562,3.2937062937062938,0.19488636363636364,1.9180000000000001,0.03551136363636363,0.17412038690584658,2.33
47.92,4866.03,2.42,14.47,3.26,IrRuOx,0.76,Pt/C,0.22,Nafion_115,122.75,20.49,61154.44,61.15,11.76,847.27,50.84,61.22,233180.1576,39.64179226069246,11.21,1.2272343653545734,5.990727183992192,0.24540901502504173,3.1834000000000002,0.0505008347245409,0.17411935397027967,0.98
46.21,943.96,1.53,16.82,2.95,IrO2,1.56,Pt/C,0.12,Nafion_115,139.43,17.66,12493.93,12.49,1.44,164.36,9.86,96.93,43620.3916,6.770135551889837,13.870000000000001,2.476350295680159,7.89524348810872,0.031162086128543605,2.0183999999999997,0.03310971651157758,0.17411754735370144,1.6800000000000002
46.31,768.09,1.59,15.49,2.87,Ir_black,1.23,Pt/C,0.11,Nafion_117,181.32,16.77,13851.5,13.85,1.22,133.74,8.02,92.91,35570.2479,4.236101919258769,12.620000000000001,1.9544604474445462,10.81216457960644,0.02634420211617361,1.7039,0.03433383718419348,0.17412022028668517,1.34
52.44,2395.63,1.91,24.08,2.21,IrO2,1.37,Pt/C,0.04,Nafion_115,133.38,14.74,59407.52,59.41,4.57,417.13,25.03,77.63,125626.8372,17.960938671464987,21.869999999999997,2.3145394818897786,9.048846675712348,0.08714721586575135,0.9632,0.036422578184591915,0.174121212374198,1.4100000000000001
61.04,4462.05,2.41,15.21,3.62,IrRuOx,0.96,Pt/C,0.04,Nafion_117,179.24,14.3,102678.65,102.68,10.75,776.93,46.62,61.43,272363.532,24.894275831287658,11.59,1.767521009851483,12.534265734265734,0.17611402359108783,0.6084,0.03948230668414155,0.1741195190551428,1.0
57.7,6342.27,2.5,28.15,2.48,IrRuOx,0.45,Pt/C,0.12,Nafion_115,129.67,20.85,100850.01,100.85,15.86,1104.32,66.26,59.2,365948.97900000005,48.91085062080667,25.669999999999998,0.8013097550698258,6.219184652278177,0.2748700173310225,3.3779999999999997,0.04332755632582322,0.1741206224269859,0.5700000000000001
51.85,1556.87,1.72,21.96,4.5,IrO2,1.62,Pt/C,0.1,Nafion_117,184.2,16.22,31490.67,31.49,2.67,271.08,16.26,86.16,80723.7095,8.452062975027145,17.46,2.720800529286646,11.356350184956844,0.05149469623915139,2.196,0.03317261330761813,0.17411858408216485,1.7200000000000002
63.91,3285.22,2.15,10.2,2.9,IrO2,2.48,Pt/C,0.19,Nafion_117,186.09,19.0,37649.84,37.65,7.06,572.02,34.32,68.88,209958.41019999998,17.65393089365361,7.299999999999999,4.699041539607746,9.794210526315789,0.11046784540760445,1.938,0.03364105773744328,0.17411923706783716,2.67
43.58,2412.0,1.9,24.51,1.71,IrRuOx,0.54,Pt/C,0.06,Nafion_117,185.29,19.83,61288.13,61.29,4.57,419.98,25.2,78.08,105114.95999999999,13.01743213341249,22.8,0.8349477429160124,9.343923348461926,0.10486461679669574,1.4706000000000001,0.04359798072510326,0.17412106135986732,0.6000000000000001
51.89,5988.61,2.5,7.87,3.03,IrRuOx,1.29,Pt/C,0.04,Nafion_117,184.36,18.74,148207.38,148.21,14.97,1042.74,62.56,59.2,310748.9729,32.483239314384896,4.84,2.1674301831339147,9.837780149413021,0.28849489304297554,0.3148,0.048178839853536326,0.1741205388228654,1.33
55.11,4683.11,2.41,21.09,2.15,IrO2,1.51,Pt/C,0.11,Nafion_117,178.42,14.44,55724.23,55.72,11.28,815.43,48.93,61.44,258086.1921,26.247674027575385,18.94,2.6200925742364833,12.355955678670359,0.20468154599891125,2.3199,0.043730720377426965,0.17412147056122962,1.62
58.6,4655.47,2.4,13.43,3.06,IrRuOx,1.14,Pt/C,0.07,Nafion_117,177.14,20.91,63437.39,63.44,11.18,810.61,48.64,61.66,272810.542,26.281302924240716,10.37,2.0483370368391105,8.471544715447154,0.19078498293515359,0.9401,0.040955631399317405,0.17411990626080717,1.21
69.08,2749.77,1.96,22.71,1.53,IrO2,1.31,Pt/C,0.04,Nafion_212,51.0,13.9,29781.94,29.78,5.38,478.79,28.73,75.59,189954.1116,53.91705882352941,21.18,2.613857598415744,3.6690647482014387,0.07788071800810654,0.9084000000000001,0.028372900984365953,0.17412001731053872,1.35
47.23,2539.49,1.96,22.42,1.84,IrRuOx,0.62,Pt/C,0.16,Nafion_115,131.67,20.76,33806.26,33.81,4.97,442.18,26.53,75.59,119940.11269999998,19.286777549935444,20.580000000000002,0.9942806173575293,6.342485549132947,0.10522972686851577,3.5872,0.041499047215752705,0.17412157559194957,0.78
60.68,2029.67,1.79,20.81,3.68,IrO2,1.13,Pt/C,0.05,Nafion_115,125.89,21.83,41876.28,41.88,3.64,353.41,21.2,82.58,123160.3756,16.122567320676783,17.13,2.0730431173363706,5.766834631241411,0.05998681608437706,1.0405,0.02949901120632828,0.17412190158991364,1.18
63.29,1030.68,1.65,20.44,1.95,Ir_black,1.42,Pt/C,0.14,Nafion_212,53.2,18.77,14916.16,14.92,1.7,179.46,10.77,89.88,65231.7372,19.373684210526317,18.490000000000002,2.6739502451668566,2.8343100692594567,0.026860483488702798,2.8616000000000006,0.02607046926844683,0.17411805798113866,1.56
35.72,4855.37,2.45,12.12,3.6,IrO2,1.18,Pt/C,0.08,Nafion_212,54.36,19.42,51459.96,51.46,11.88,845.42,50.73,60.5,173433.81639999998,89.31880058866814,8.52,1.6865996126203555,2.799176107106076,0.33258678611422177,0.9695999999999999,0.06858902575587907,0.17412061284721864,1.26
63.78,4477.83,2.37,6.73,2.06,IrO2,1.88,Pt/C,0.06,Nafion_115,122.42,19.06,63072.13,63.07,10.6,779.68,46.78,62.53,285595.9974,36.57760169906878,4.67,3.5575488300820215,6.422875131164743,0.16619629978049544,0.4038,0.03715898400752587,0.1741200536867188,1.94
45.54,6902.02,2.5,13.79,2.93,IrO2,2.33,Pt/C,0.09,Nafion_212,47.49,18.47,177005.77,177.01,17.26,1201.78,72.11,59.2,314317.9908,145.33628132238366,10.86,3.6739532699000828,2.5711965349214947,0.37900746596398777,1.2410999999999999,0.05489679402722881,0.17412004022010946,2.42
37.69,6661.85,2.5,9.39,3.08,IrO2,2.17,Pt/C,0.18,Nafion_117,179.3,21.77,116952.07,116.95,16.65,1159.96,69.6,59.2,251085.1265,37.1547685443391,6.3100000000000005,3.163336001918161,8.23610473128158,0.4417617405147254,1.6902000000000001,0.06633059166887768,0.17411980155662465,2.35
74.7,3112.16,2.06,18.48,2.58,IrRuOx,1.18,Pt/C,0.1,Nafion_117,181.54,21.84,46339.43,46.34,6.41,541.89,32.51,71.81,232478.35199999998,17.143108956703756,15.9,2.4905770695813914,8.312271062271062,0.085809906291834,1.848,0.02757697456492637,0.1741202251812246,1.28
75.65,4197.42,2.35,12.85,2.11,IrO2,1.03,Pt/C,0.17,Nafion_115,124.38,18.09,50120.85,50.12,9.87,730.86,43.85,62.94,317534.82300000003,33.74674384949349,10.74,2.194729495462541,6.875621890547263,0.13046926635822867,2.1845,0.031064111037673495,0.17412124590820074,1.2
69.73,5629.61,2.5,26.74,1.92,IrRuOx,0.76,Pt/C,0.05,Nafion_115,133.76,19.88,146194.6,146.19,14.07,980.23,58.81,59.2,392552.7053,42.08739533492823,24.82,1.5263254106023223,6.7283702213279675,0.2017782876810555,1.337,0.035852574214828625,0.17412040976195511,0.81
52.46,4739.03,2.46,17.5,1.36,IrO2,1.38,Pt/C,0.18,Nafion_115,129.12,22.21,98242.12,98.24,11.66,825.16,49.51,60.14,248609.5138,36.70252478314745,16.14,2.331900264080616,5.813597478613238,0.22226458253907738,3.15,0.04689287075867327,0.1741200203417155,1.5599999999999998
40.55,1939.98,1.86,21.21,2.11,IrO2,1.29,Pt/C,0.07,Nafion_117,180.2,22.71,26043.6,26.04,3.61,337.79,20.27,79.56,78666.189,10.76570477247503,19.1,1.9350675169885927,7.9348304711580795,0.08902589395807645,1.4847000000000001,0.04586929716399507,0.1741203517562037,1.36
66.15,2677.79,1.96,8.34,2.96,IrO2,1.65,Pt/C,0.15,Nafion_117,172.82,19.26,27322.58,27.32,5.26,466.26,27.98,75.36,177135.8085,15.494676542066891,5.38,3.1971995560456707,8.973001038421598,0.07951625094482237,1.251,0.029629629629629627,0.1741211969571923,1.7999999999999998
58.01,1457.34,1.74,22.25,4.14,IrO2,1.68,Pt/C,0.13,Nafion_115,120.42,18.9,14397.59,14.4,2.54,253.75,15.23,85.04,84540.2934,12.10214250124564,18.11,3.000844633119712,6.371428571428572,0.04378555421479056,2.8925,0.029994828477848647,0.17411859964044082,1.81
42.38,5750.09,2.5,24.2,3.76,IrO2,1.44,Pt/C,0.23,Nafion_117,181.41,17.63,64401.39,64.4,14.38,1001.21,60.07,59.2,243688.81420000002,31.69665398820352,20.439999999999998,2.1999686573152726,10.289846851956892,0.33931099575271356,5.566,0.05899008966493629,0.17412075289256343,1.67
60.01,3340.76,2.19,15.06,3.32,IrO2,1.44,Pt/C,0.09,Nafion_115,116.34,22.65,56419.14,56.42,7.31,581.69,34.9,67.62,200479.0076,28.715489083720133,11.74,2.6241134707892817,5.136423841059603,0.12181303116147309,1.3554,0.0364939176803866,0.17411906272824149,1.53
34.23,1872.9,1.92,16.91,3.41,IrO2,2.2,Pt/C,0.05,Nafion_115,132.06,16.32,43844.33,43.84,3.6,326.11,19.57,77.02,64109.367,14.182189913675602,13.5,3.0980019157095926,8.091911764705882,0.105170902716915,0.8455,0.056091148115687994,0.17412034812323135,2.25
72.94,3659.02,2.16,19.89,2.99,IrO2,2.11,Pt/C,0.04,Nafion_212,49.53,19.68,57911.1,57.91,7.91,637.11,38.23,68.5,266888.9188,73.87482333939026,16.9,4.375793818101099,2.516768292682927,0.10844529750479846,0.7956000000000001,0.02961338086098163,0.17412039289208586,2.15
50.31,3396.72,2.12,9.43,2.02,IrRuOx,0.78,Pt/C,0.19,Nafion_212,59.73,17.66,71984.78,71.98,7.2,591.44,35.49,69.86,170888.9832,56.867905575087896,7.41,1.2899953848112722,3.3822197055492635,0.14311270125223613,1.7917,0.04213873981315842,0.1741209166490026,0.97
65.49,2328.55,1.95,15.29,3.94,IrRuOx,1.57,Pt/C,0.12,Nafion_212,56.92,17.64,35457.95,35.46,4.55,405.45,24.33,75.79,152496.7395,40.909170765987355,11.35,3.0221715200175265,3.2267573696145124,0.06947625591693389,1.8347999999999998,0.029775538250114524,0.1741212342444869,1.69
52.78,1378.96,1.75,13.72,3.01,IrO2,2.58,Pt/C,0.18,Nafion_115,126.09,18.58,25831.88,25.83,2.42,240.1,14.41,84.41,72781.50880000001,10.936315330319612,10.71,4.373612816131381,6.78632938643703,0.045850701023114816,2.4696000000000002,0.03315649867374005,0.17411672564831465,2.7600000000000002
60.88,3658.37,2.16,8.71,2.7,IrO2,1.4,Pt/C,0.07,Nafion_212,49.68,23.77,69912.21,69.91,7.92,637.0,38.22,68.38,222721.5656,73.63868760064412,6.010000000000001,2.5735138879573496,2.0900294488851494,0.13009198423127463,0.6097000000000001,0.035479632063074903,0.17412126165478067,1.47
61.78,2961.49,2.01,13.22,1.67,Ir_black,1.94,Pt/C,0.09,Nafion_115,131.98,15.06,35685.67,35.69,5.95,515.66,30.94,73.69,182960.8522,22.438930140930445,11.55,3.598395217198176,8.763612217795483,0.09630948527031402,1.1898,0.03253480090644221,0.17412181030494786,2.03
46.39,4217.7,2.32,6.26,2.42,IrRuOx,0.97,Pt/C,0.04,Nafion_117,188.52,19.67,60260.58,60.26,9.78,734.39,44.06,63.8,195659.103,22.37269255251432,3.84,1.5425560180119993,9.584138281647178,0.2108212976934684,0.2504,0.05001077818495365,0.17412096640349006,1.01
75.91,2960.89,1.95,4.24,2.46,IrRuOx,1.64,Pt/C,0.25,Nafion_117,171.81,15.52,52299.11,52.3,5.77,515.55,30.93,75.98,224761.15989999997,17.23351376520575,1.7800000000000002,3.5036183257304176,11.070231958762887,0.0760110657357397,1.06,0.025688315109998684,0.17411994366558703,1.89
68.8,4758.16,2.39,8.41,3.73,IrO2,2.32,Pt/C,0.15,Nafion_117,171.07,16.45,48617.71,48.62,11.37,828.49,49.71,61.93,327361.408,27.814111182556847,4.68,4.616178441725633,10.399392097264437,0.16526162790697674,1.2615,0.03473837209302326,0.17411982783260757,2.4699999999999998
74.23,3096.77,2.0,25.99,2.67,IrRuOx,0.53,Pt/C,0.23,Nafion_115,123.89,18.82,44256.04,44.26,6.19,539.21,32.35,74.08,229873.2371,24.99612559528614,23.32,1.1134037085152888,6.582890541976621,0.08338946517580494,5.9777,0.026943284386366697,0.1741201316210116,0.76
72.39,3136.31,2.02,16.0,2.27,IrRuOx,0.85,Pt/C,0.08,Nafion_115,129.91,19.27,51108.15,51.11,6.34,546.1,32.77,73.25,227037.4809,24.142175352166884,13.73,1.7530919727917977,6.741567202906071,0.08758115761845559,1.28,0.027904406686006356,0.1741218183151538,0.9299999999999999
63.47,4952.13,2.48,26.14,4.47,IrRuOx,1.02,Pt/C,0.14,Nafion_212,51.49,17.46,133364.17,133.36,12.3,862.27,51.74,59.59,314311.6911,96.17653913381238,21.67,1.924185242118282,2.9490263459335626,0.19379234283913663,3.6596000000000006,0.03907357806837876,0.1741210347870512,1.1600000000000001
73.44,2496.49,1.92,14.25,1.67,Ir_black,2.13,Pt/C,0.15,Nafion_117,185.35,17.94,38849.43,38.85,4.8,434.69,26.08,76.98,183342.22559999998,13.469058537901267,12.58,4.439412197463193,10.331661092530657,0.06535947712418301,2.1374999999999997,0.026143790849673203,0.17412046513304683,2.28
39.8,1480.76,1.79,12.25,2.37,IrO2,1.2,Pt/C,0.08,Nafion_117,174.0,15.59,30554.09,30.55,2.65,257.83,15.47,82.76,58934.24799999999,8.510114942528736,9.879999999999999,1.786612835888733,11.161000641436818,0.06658291457286432,0.98,0.0449748743718593,0.1741200464626273,1.28
47.02,793.55,1.5,15.34,1.41,IrO2,2.27,Pt/C,0.2,Nafion_212,43.05,17.83,11958.31,11.96,1.19,138.17,8.29,98.67,37312.721,18.43321718931475,13.93,3.6327132886117077,2.414469994391475,0.025308379413015735,3.068,0.03190131858783496,0.17411631277172201,2.47
35.58,4114.63,2.37,14.36,3.23,IrRuOx,1.16,Pt/C,0.24,Nafion_117,184.29,22.79,83326.09,83.33,9.75,716.44,42.99,62.45,146398.5354,22.326930381464,11.129999999999999,1.6556935841531502,8.086441421676174,0.2740303541315346,3.4463999999999997,0.06661045531197303,0.17412015175119028,1.4
53.38,3407.02,2.13,7.55,4.01,IrRuOx,1.41,Pt/C,0.21,Nafion_115,122.86,22.44,58204.48,58.2,7.26,593.23,35.59,69.5,181866.7276,27.73091323457594,3.54,2.404614751860847,5.475044563279857,0.13600599475458972,1.5855,0.039902585237916816,0.1741199053718499,1.6199999999999999
56.02,3828.05,2.23,17.5,2.06,IrO2,2.27,Pt/C,0.17,Nafion_115,116.91,18.08,85031.79,85.03,8.54,666.54,39.99,66.31,214447.36100000003,32.74356342485673,15.44,3.9748214604731142,6.466261061946903,0.15244555515887181,2.975,0.039807211710103534,0.17411998275884588,2.44
50.92,1814.52,1.81,10.37,3.7,IrO2,2.03,Pt/C,0.08,Nafion_115,127.73,19.63,26911.95,26.91,3.28,315.95,18.96,81.76,92395.3584,14.20590307680263,6.669999999999999,3.3778377743243015,6.5068772287315335,0.06441476826394343,0.8296,0.035545954438334644,0.1741231840927628,2.11
70.29,1491.97,1.63,17.14,2.09,IrO2,1.55,Pt/C,0.08,Nafion_117,183.97,22.01,25667.98,25.67,2.43,259.78,15.59,90.98,104870.57130000001,8.109854867641463,15.05,3.130381652832864,8.358473421172194,0.034571062740076826,1.3712,0.023189642907952765,0.17411878254924695,1.6300000000000001
54.71,621.93,1.52,17.66,3.97,IrO2,1.79,Pt/C,0.25,Nafion_117,179.39,13.69,10921.27,10.92,0.94,108.29,6.5,97.53,34025.7903,3.466915658620882,13.69,3.09353861907359,13.10372534696859,0.017181502467556203,4.415,0.027782855053920672,0.1741192738732655,2.04
51.37,2301.06,1.9,8.86,3.28,IrRuOx,0.62,Pt/C,0.03,Nafion_117,177.71,21.11,34293.92,34.29,4.36,400.66,24.04,78.05,118205.45219999999,12.948399077148162,5.58,1.036307794921399,8.418285172903838,0.08487444033482579,0.2658,0.036986568035818575,0.17411975350490644,0.65
61.65,3265.99,2.12,5.99,3.47,IrRuOx,1.16,Pt/C,0.16,Nafion_115,126.2,22.49,37882.48,37.88,6.94,568.68,34.12,69.67,201348.2835,25.879477020602216,2.52,2.1488224729801066,5.611382836816364,0.11257096512570966,0.9584,0.03438767234387673,0.17412178236920506,1.3199999999999998
43.68,2454.27,1.95,20.23,1.27,IrO2,1.17,Pt/C,0.16,Nafion_115,125.15,15.65,26266.22,26.27,4.77,427.34,25.64,76.08,107202.5136,19.610627247303235,18.96,1.8108634012559839,7.996805111821087,0.10920329670329669,3.2368,0.044642857142857144,0.17412102172947555,1.3299999999999998
69.56,2626.69,2.07,14.66,4.33,IrO2,1.93,Pt/C,0.14,Nafion_117,173.26,16.53,22485.68,22.49,5.43,457.36,27.44,71.59,182712.5564,15.160394782407943,10.33,3.8694795040418626,10.481548699334542,0.07806210465784934,2.0524,0.02975848188614146,0.17412028065740534,2.07
38.58,5194.84,2.5,5.86,3.19,IrO2,1.26,Pt/C,0.27,Nafion_115,123.43,22.69,113712.82,113.71,12.99,904.53,54.27,59.2,200416.9272,42.08733695211861,2.6700000000000004,1.8531960089583936,5.439841339797267,0.3367029548989114,1.5822000000000003,0.06480041472265423,0.17412085839024877,1.53
77.31,2292.63,1.83,28.51,2.11,IrO2,1.04,Pt/C,0.08,Nafion_212,51.56,19.43,29548.29,29.55,4.2,399.19,23.95,80.72,177243.22530000002,44.46528316524437,26.400000000000002,2.2531307942836296,2.6536284096757594,0.0543267365153279,2.2808,0.0236709351959643,0.17411880678522046,1.12
68.72,2934.98,1.99,5.84,3.57,IrRuOx,0.62,Pt/C,0.09,Nafion_117,181.61,14.05,36888.69,36.89,5.83,511.04,30.66,74.55,201691.8256,16.16089422388635,2.27,1.232647381451906,12.925978647686833,0.08483701979045402,0.5256,0.028958090803259603,0.1741204369365379,0.71
47.18,4287.84,2.32,18.48,2.06,Ir_black,1.07,Pt/C,0.05,Nafion_115,127.84,17.45,82238.13,82.24,9.95,746.6,44.8,63.76,202300.2912,33.54067584480601,16.42,1.7150781506534538,7.326074498567336,0.2108944467994913,0.924,0.04917337855023315,0.17412030299638045,1.12
28.7,2470.37,1.92,27.34,3.76,IrRuOx,1.22,Pt/C,0.1,Nafion_115,122.02,18.89,34216.21,34.22,4.74,430.14,25.81,77.18,70899.61899999999,20.2456154728733,23.58,1.6255575404403244,6.45950238221281,0.16515679442508713,2.734,0.06689895470383275,0.17411966628480754,1.32
69.93,3415.44,2.19,10.85,1.67,IrO2,2.0,Pt/C,0.07,Nafion_117,179.09,20.32,54441.56,54.44,7.46,594.7,35.68,67.73,238841.71920000002,19.07108157909431,9.18,4.024687147659122,8.813484251968504,0.10667810667810666,0.7595000000000001,0.03131703131703131,0.1741210502892746,2.07
66.83,4836.75,2.5,8.6,3.11,Ir_black,2.15,Pt/C,0.09,Nafion_117,169.11,20.57,57464.01,57.46,12.09,842.18,50.53,59.2,323240.0025,28.601206315416,5.49,4.194473569848185,8.221195916383083,0.1809067783929373,0.7739999999999999,0.03740834954361814,0.17412105235953892,2.2399999999999998
67.48,5689.92,2.5,8.02,2.65,IrRuOx,0.62,Pt/C,0.19,Nafion_115,127.89,23.55,139661.85,139.66,14.22,990.73,59.44,59.2,383955.8016,44.49073422472437,5.369999999999999,1.2174569293646706,5.430573248407643,0.2107291049199763,1.5238,0.03704801422643746,0.17412019852651706,0.81
68.69,1541.71,1.65,12.1,1.62,IrRuOx,0.5,Pt/C,0.23,Nafion_212,54.29,17.71,32964.49,32.96,2.55,268.44,16.11,89.46,105900.0599,28.397679130594955,10.48,0.9937722925008516,3.0654997176736307,0.0371233076139176,2.783,0.024020963750181975,0.17411834910586296,0.73
38.54,5420.12,2.5,7.41,1.98,IrO2,0.72,Pt/C,0.06,Nafion_212,45.58,19.44,117395.17,117.4,13.55,943.75,56.63,59.2,208891.42479999998,118.91443615620886,5.43,1.0585456450232715,2.3446502057613166,0.35158277114686043,0.4446,0.06486766995329528,0.1741197611860992,0.78
54.79,2844.52,1.98,18.43,1.22,IrO2,1.14,Pt/C,0.09,Nafion_115,124.07,19.41,42056.08,42.06,5.64,495.29,29.72,74.68,155851.2508,22.92673490771339,17.21,1.9717633864739523,6.392065945388975,0.10293849242562511,1.6586999999999998,0.036137981383464135,0.1741207655421653,1.23
41.93,1977.9,1.85,6.03,2.48,IrO2,2.36,Pt/C,0.23,Nafion_212,50.99,18.59,38825.96,38.83,3.67,344.39,20.66,79.8,82933.34700000001,38.789958815454014,3.5500000000000003,3.589315870562968,2.7428725121032813,0.08752683043167184,1.3869,0.04412115430479371,0.1741190151170433,2.59
71.32,2711.72,1.97,15.39,2.1,IrO2,1.28,Pt/C,0.05,Nafion_117,186.26,16.61,31434.5,31.43,5.35,472.16,28.33,75.03,193399.87039999996,14.55878878986363,13.290000000000001,2.611853383458382,11.213726670680312,0.07501402131239485,0.7695000000000001,0.027621985417835112,0.17411827179797326,1.33
64.28,6176.05,2.5,28.8,2.8,IrO2,1.44,Pt/C,0.05,Nafion_115,124.76,23.0,50154.82,50.15,15.44,1075.38,64.52,59.2,396996.494,49.50344661750561,26.0,2.7385897923583244,5.424347826086957,0.2401991288114499,1.4400000000000002,0.0388923459863099,0.17412099966807265,1.49
53.62,2846.57,2.09,21.0,2.1,IrO2,1.01,Pt/C,0.06,Nafion_115,123.54,21.46,24789.03,24.79,5.94,495.65,29.74,70.87,152633.0834,23.041686903027358,18.9,1.726593394099539,5.756756756756757,0.11077955986572176,1.26,0.03897799328608728,0.17412183786100463,1.07
37.54,2222.72,1.97,17.06,2.1,IrO2,1.25,Pt/C,0.13,Nafion_117,170.16,19.19,37709.69,37.71,4.39,387.02,23.22,74.99,83440.90879999999,13.062529384109073,14.959999999999999,1.8194669094986042,8.867118290776446,0.11694192860948321,2.2178,0.052477357485348965,0.174119997120645,1.38
52.74,3469.51,2.12,12.15,3.24,IrRuOx,0.98,Pt/C,0.06,Nafion_212,50.31,19.82,53213.28,53.21,7.37,604.11,36.25,69.66,182981.9574,68.96263168356192,8.91,1.6606304055931629,2.5383451059535824,0.139742131209708,0.729,0.040197193780811526,0.17411968837098032,1.04
