City,Latitude,Longitude,Solar_Irradiance_kWh/m²/day,Wind_Speed_m/s,PV_Power_kW,Wind_Power_kW,System_Efficiency_%,Hydrogen_Production_kg/day,Feasibility_Score,Latitude_Band,Total_Renewable_Power_kW,PV_to_Wind_Ratio,Efficiency_Factor,H2_per_kW,Latitude_Abs
City 39,28.95,-8.48,5.23,3.59,928.15,836.57,73.74,25.62,2.42,Tropical,1764.72,1.1081461847964946,18.892187999999997,0.014517883856929144,28.95
City 40,-2.78,-98.63,6.69,9.64,1180.11,17271.87,78.49,265.11,4.54,Equatorial,18451.98,0.06832159334262343,208.084839,0.014367563806160642,2.78
City 41,-44.14,50.57,3.9,7.24,677.55,7120.15,71.63,100.9,3.23,Subtropical,7797.7,0.09514614914725851,72.27467,0.0129397129922926,44.14
City 42,4.37,172.43,6.35,4.83,1088.36,2185.48,72.71,44.02,2.91,Equatorial,3273.84,0.49776810215506195,32.006942,0.013445983921022408,4.37
City 43,-55.53,37.26,3.22,12.44,569.41,36945.46,70.43,527.39,5.04,Temperate,37514.87,0.01541176069371734,371.440777,0.014058158804761951,55.53
City 44,58.21,-51.19,3.31,8.3,590.65,10547.49,73.64,161.24,3.52,Temperate,11138.14,0.055993796268470654,118.737136,0.014476384746465749,58.21
City 45,-26.36,53.21,4.35,4.12,768.8,1373.5,73.8,30.34,2.43,Tropical,2142.3,0.5593306656966169,22.39092,0.014162348877374782,26.36
City 46,26.13,-135.75,5.32,7.25,905.5,7225.76,78.05,126.04,3.54,Tropical,8131.26,0.125298197255755,98.37422000000001,0.015500672712470147,26.13
City 47,-19.48,139.92,6.1,1.47,1050.67,61.78,76.53,16.08,2.03,Tropical,1112.45,16.73574386747372,12.306024,0.014454582228414758,19.48
City 48,7.61,1.11,6.26,4.04,1068.52,1241.48,74.37,34.3,2.7,Equatorial,2310.0,0.8599896980233082,25.50891,0.014848484848484847,7.61
City 49,11.07,-18.23,6.58,5.72,1155.3,3736.92,76.52,69.6,3.24,Equatorial,4892.22,0.3090756356476329,53.25791999999999,0.014226670100690482,11.07
City 50,-35.97,30.91,5.89,6.92,1045.77,6481.02,70.53,98.1,3.42,Subtropical,7526.790000000001,0.1613339668806946,69.18992999999999,0.013033444536116988,35.97
City 51,66.05,44.92,2.32,6.75,397.75,6119.03,71.8,90.2,2.87,Polar,6516.78,0.0649915114795189,64.7636,0.013841191508689876,66.05
City 52,40.77,-154.16,4.34,12.06,774.71,33395.24,76.27,488.81,5.11,Subtropical,34169.95,0.023197521637166343,372.815387,0.0143052594457996,40.77
City 53,62.13,65.74,2.28,10.47,400.53,21761.03,76.41,326.03,4.18,Polar,22161.559999999998,0.018404992548948788,249.11952299999996,0.014711509478574613,62.13
City 54,56.33,-92.9,3.15,13.21,556.83,44983.02,77.74,658.85,5.49,Temperate,45539.85,0.01237839570585288,512.18999,0.014467548751258514,56.33
City 55,17.73,77.02,5.99,5.12,1076.35,2656.28,74.03,53.15,2.95,Tropical,3732.63,0.4050570508188824,39.346945,0.014239289723331805,17.73
City 56,59.84,116.11,2.91,7.78,496.86,9400.15,77.23,141.79,3.34,Temperate,9897.01,0.05285098099700569,109.50441699999999,0.014326549129484561,59.84
City 57,-48.5,109.43,3.1,9.52,554.12,16103.41,76.84,231.7,3.93,Temperate,16657.53,0.03440796651352021,178.03828000000001,0.013909625256565649,48.5
City 58,-34.52,18.9,4.69,6.91,802.64,6473.69,79.63,114.87,3.36,Subtropical,7276.33,0.12396578060107898,91.470981,0.015786804611665498,34.52
City 59,-54.12,7.26,3.94,6.47,685.75,4983.77,72.15,80.86,3.02,Temperate,5669.52,0.13756903528146733,58.34049,0.014262230312266293,54.12
City 60,-17.71,-128.56,5.98,9.45,1068.38,16086.48,75.52,258.34,4.35,Tropical,17154.86,0.06641064977236957,195.09836799999997,0.015059289320927129,17.71
City 61,-9.47,99.12,6.82,3.39,1220.84,716.22,76.02,28.62,2.62,Equatorial,1937.06,1.7021834304676389,21.756923999999998,0.014774968250854389,9.47
City 62,-24.72,-82.29,5.15,1.87,901.71,122.6,79.99,15.87,2.03,Tropical,1024.31,7.295388349514564,12.694412999999999,0.01549335650340229,24.72
City 63,47.74,-1.19,4.03,12.09,709.65,35135.72,72.01,493.49,5.04,Temperate,35845.37,0.020196819737300465,355.36214900000004,0.013767189458499102,47.74
City 64,-13.62,-77.66,6.19,4.1,1095.44,1262.06,75.23,32.37,2.71,Equatorial,2357.5,0.8672905483508306,24.351951,0.013730646871686108,13.62
City 65,-23.48,-131.82,4.88,4.83,870.43,2168.43,73.46,41.03,2.7,Tropical,3038.8599999999997,0.401225206621094,30.140638,0.013501773691450085,23.48
City 66,10.55,46.64,6.42,1.0,1099.33,19.19,75.26,15.64,1.94,Equatorial,1118.52,54.44923229321446,11.770664000000002,0.013982762936737832,10.55
City 67,-41.68,-160.44,3.59,12.52,638.77,35802.08,72.32,521.3,5.12,Subtropical,36440.85,0.017841202488724433,377.0041599999999,0.014305374325790973,41.68
City 68,44.29,89.51,3.58,5.2,626.45,2629.97,70.48,42.1,2.58,Subtropical,3256.42,0.23810609775101962,29.67208,0.012928307773567292,44.29
City 69,-50.31,-65.67,3.57,9.18,623.52,14781.57,75.73,231.51,3.9,Temperate,15405.09,0.04217940452844127,175.322523,0.015028149786856161,50.31
City 70,68.3,-179.95,2.37,13.11,412.59,41412.14,73.36,584.36,5.2,Polar,41824.729999999996,0.009962779929268827,428.68649600000003,0.013971638310635838,68.3
City 71,40.39,4.01,3.58,9.09,626.47,14739.18,71.82,214.43,3.82,Subtropical,15365.65,0.042500837845942184,154.003626,0.013955153215125948,40.39
City 72,-34.17,-163.13,5.14,7.27,921.53,7655.7,73.24,114.46,3.45,Subtropical,8577.23,0.12035602805386132,83.83050399999998,0.013344634573166396,34.17
City 73,-59.28,-80.58,3.14,5.67,550.36,3366.61,70.49,51.19,2.65,Temperate,3916.9700000000003,0.16342747527178028,36.083830999999996,0.01306877509911998,59.28
City 74,46.01,74.51,3.43,6.58,615.24,5226.62,79.5,92.51,3.06,Temperate,5841.86,0.11769026822913678,73.54545,0.01583570985953104,46.01
City 75,31.89,-157.43,4.0,7.66,687.01,8494.63,75.81,129.0,3.43,Subtropical,9181.64,0.08086628066429448,97.7949,0.014049777599644509,31.89
City 76,34.77,122.16,4.49,5.51,796.45,3259.8,78.15,58.94,2.89,Subtropical,4056.25,0.24424987733071638,46.06161,0.014530662557781201,34.77
City 77,40.27,-178.62,3.96,8.53,705.09,11541.18,74.23,167.22,3.69,Subtropical,12246.27,0.06108811333734182,124.12740600000001,0.013654769983023401,40.27
City 78,-50.37,-91.14,3.53,10.74,624.14,22359.36,79.03,331.65,4.46,Temperate,22983.5,0.02791278852397725,262.10299499999996,0.01442991711445167,50.37
City 79,-13.4,86.73,5.88,7.75,1035.37,8869.53,74.83,136.88,3.72,Equatorial,9904.900000000001,0.11672019597476135,102.42730399999999,0.01381942270997183,13.4
City 80,-44.94,-66.14,2.85,5.43,500.72,3185.09,75.74,53.84,2.6,Subtropical,3685.8100000000004,0.15715814681945584,40.778416,0.0146073725992387,44.94
City 81,52.2,-143.32,3.15,14.71,562.9,59808.96,74.92,855.32,6.12,Temperate,60371.86,0.009411475948153118,640.805744,0.014167527719039964,52.2
City 82,21.03,-50.32,5.38,8.02,957.95,9724.47,77.33,157.85,3.78,Tropical,10682.42,0.0984990956735253,122.065405,0.014776614287773743,21.03
City 83,-16.98,-82.66,6.13,5.69,1049.25,3680.77,75.67,65.3,3.15,Tropical,4730.02,0.28498521091757495,49.412510000000005,0.013805438454805686,16.98
City 84,-51.74,123.38,3.03,11.9,540.68,32654.0,72.72,473.2,4.82,Temperate,33194.68,0.016557341907824222,344.11104,0.014255296330616833,51.74
City 85,-19.57,-67.19,6.47,11.87,1126.56,32515.74,71.46,470.4,5.29,Tropical,33642.3,0.0346455394975019,336.1478399999999,0.01398239716071731,19.57
City 86,-17.73,104.02,4.8,2.18,828.76,197.01,76.06,14.08,2.01,Tropical,1025.77,4.185445179536387,10.709248,0.013726273921054428,17.73
City 87,34.85,141.07,5.22,6.92,932.12,6615.59,74.89,106.08,3.38,Subtropical,7547.71,0.1408761915125465,79.44331199999999,0.014054594042431413,34.85
City 88,22.88,-23.83,5.29,1.0,921.47,19.38,70.96,12.11,1.73,Tropical,940.85,45.214425907752705,8.593255999999998,0.012871339745974384,22.88
City 89,55.34,147.58,3.56,10.02,633.29,19881.6,73.96,297.13,4.18,Temperate,20514.89,0.03185146811785179,219.75734799999998,0.014483626283153358,55.34
City 90,1.39,-44.17,6.94,5.05,1198.55,2501.7,75.15,54.15,3.09,Equatorial,3700.25,0.47890278499220845,40.693725,0.014634146341463414,1.39
City 91,-44.45,167.07,4.46,8.35,758.05,11324.53,78.27,187.28,3.78,Subtropical,12082.58,0.06693284994168043,146.584056,0.015500000827637805,44.45
City 92,32.72,-147.86,4.52,5.64,790.06,3326.16,70.76,53.81,2.84,Subtropical,4116.219999999999,0.2374577717933613,38.075956000000005,0.01307267347226339,32.72
City 93,38.9,67.33,3.73,2.77,637.42,393.94,73.48,14.33,1.98,Subtropical,1031.36,1.6139666784828075,10.529684,0.013894275519702142,38.9
City 94,12.97,-2.23,6.8,6.23,1207.76,4732.13,78.23,85.35,3.44,Equatorial,5939.89,0.2551715249739601,66.76930499999999,0.014368952960408356,12.97
City 95,40.23,-40.45,4.13,11.66,713.06,29483.86,76.48,432.87,4.9,Subtropical,30196.920000000002,0.024183937112131446,331.05897600000003,0.014334905679122241,40.23
City 96,4.19,47.78,6.82,2.94,1189.18,486.91,72.9,23.27,2.47,Equatorial,1676.0900000000001,2.437293763194032,16.96383,0.013883502675870626,4.19
City 97,7.96,73.39,7.06,5.9,1206.43,3790.9,78.45,70.99,3.37,Equatorial,4997.33,0.31815976159708853,55.691655,0.014205585782808018,7.96
City 98,-4.42,-178.43,6.17,1.0,1067.39,19.63,74.93,15.83,1.9,Equatorial,1087.0200000000002,51.73969946679593,11.861419000000001,0.014562749535427128,4.42
City 99,-56.7,-119.9,3.33,10.81,591.96,23033.54,74.98,338.12,4.42,Temperate,23625.5,0.02569879841316562,253.522376,0.01431165477979302,56.7
City 100,-45.97,76.7,3.49,7.61,598.05,8677.41,79.77,145.44,3.41,Temperate,9275.46,0.06891239293833779,116.017488,0.015680084869106225,45.97
City 101,-55.91,59.9,3.02,7.69,532.93,8718.06,79.47,136.33,3.35,Temperate,9250.99,0.061122414572213055,108.34145100000002,0.014736801142364224,55.91
City 102,22.73,167.78,5.44,4.37,975.57,1535.91,73.59,36.6,2.66,Tropical,2511.48,0.6347606561216987,26.933940000000003,0.014573080414735535,22.73
City 103,-19.13,93.97,4.91,4.93,868.17,2285.8,71.41,45.04,2.71,Tropical,3153.9700000000003,0.3796440440790624,32.163064,0.014280414842246437,19.13
City 104,6.11,162.28,6.18,5.57,1101.18,3203.88,73.26,62.57,3.1,Equatorial,4305.06,0.3435947679788323,45.838782,0.01453405992018694,6.11
City 105,57.98,72.91,3.62,6.52,618.78,5163.47,70.3,79.5,2.97,Temperate,5782.25,0.11981481158763628,55.88849999999999,0.013748973150590168,57.98
City 106,-27.59,-72.7,5.51,5.77,950.8,3586.16,70.21,62.51,3.02,Tropical,4536.96,0.26505647922033027,43.888270999999996,0.013777948229651572,27.59
City 107,-6.65,-142.07,6.5,4.56,1163.71,1720.26,73.96,40.84,2.87,Equatorial,2883.9700000000003,0.6760803132588917,30.205264000000003,0.014161034962222215,6.65
City 108,38.22,101.46,4.45,5.07,787.62,2609.86,79.41,49.59,2.77,Subtropical,3397.48,0.30167071386439714,39.379419000000006,0.014596112412729435,38.22
City 109,-30.26,51.89,4.73,11.52,835.22,27595.74,78.71,433.13,4.97,Subtropical,28430.960000000003,0.03026516900184587,340.91662299999996,0.015234448643309967,30.26
City 110,-49.99,-162.65,4.18,6.87,738.14,6253.74,75.11,102.02,3.21,Temperate,6991.88,0.11801289901738522,76.62722199999999,0.014591211519648506,49.99
City 111,-22.33,-50.38,5.34,4.56,929.32,1776.72,75.65,40.88,2.72,Tropical,2706.04,0.5227594896834147,30.925720000000005,0.0151069459431494,22.33
City 112,-39.04,164.45,4.38,5.46,747.07,3137.35,70.06,51.93,2.77,Subtropical,3884.42,0.23804546975321428,36.382158,0.013368791222370393,39.04
City 113,60.86,0.14,3.31,14.58,589.16,58023.93,72.16,784.21,5.98,Polar,58613.090000000004,0.010153566751394616,565.885936,0.013379434525632413,60.86
City 114,45.06,-24.22,3.46,9.89,611.23,18703.7,70.25,262.78,4.05,Temperate,19314.93,0.032677883098900275,184.60295,0.013605019536700364,45.06
City 115,22.34,-15.23,6.22,3.89,1086.01,1147.85,77.55,34.57,2.69,Tropical,2233.8599999999997,0.9453018235626932,26.809034999999998,0.015475455041945335,22.34
City 116,53.29,-104.8,2.5,12.09,448.3,34288.58,71.46,455.59,4.76,Temperate,34736.880000000005,0.013073942579640813,325.56461399999995,0.013115455389200179,53.29
City 117,44.48,-47.27,4.7,8.95,815.04,13065.65,78.69,203.73,3.99,Subtropical,13880.689999999999,0.062375589764782864,160.315137,0.014677224259024587,44.48
City 118,-35.75,-46.87,4.31,8.22,745.64,10718.2,76.43,167.22,3.68,Subtropical,11463.84,0.06956116128069258,127.80624600000002,0.01458673533475694,35.75
City 119,56.03,-161.15,2.96,8.74,528.38,12399.98,72.29,171.42,3.58,Temperate,12928.359999999999,0.04260792292222067,123.91951800000001,0.013259222360763469,56.03
City 120,10.11,96.32,5.35,3.14,951.6,557.93,71.58,19.5,2.29,Equatorial,1509.53,1.702538779453599,13.9581,0.01291792809682484,10.11
City 121,44.97,-30.06,3.62,9.34,634.9,15347.65,76.28,227.65,3.95,Subtropical,15982.55,0.04136520149980617,173.65142,0.014243659491132517,44.97
City 122,56.49,115.98,2.53,8.29,432.67,10735.28,79.01,174.1,3.48,Temperate,11167.95,0.04029980589179865,137.55641,0.015589253175381335,56.49
City 123,-18.66,126.13,5.39,10.41,927.89,21346.79,77.18,310.96,4.6,Tropical,22274.68,0.04346538915737882,239.998928,0.013960245444603468,18.66
City 124,-45.69,-103.68,3.73,5.4,659.07,3049.7,73.49,51.4,2.69,Temperate,3708.77,0.216038941882191,37.77385999999999,0.013859042216152525,45.69
City 125,-30.37,56.65,5.35,10.88,930.64,23959.69,75.87,368.72,4.78,Subtropical,24890.329999999998,0.0388402838148651,279.74786400000005,0.014813785112531655,30.37
City 126,-4.48,-9.98,6.79,4.17,1211.18,1350.26,73.11,37.28,2.8,Equatorial,2561.44,0.8963337921643504,27.255408000000003,0.01455431319882566,4.48
City 127,46.34,136.86,3.91,9.38,701.83,14964.35,79.99,250.27,4.07,Temperate,15666.18,0.04689699873374161,200.190973,0.015975177101246123,46.34
City 128,51.89,-102.33,2.82,11.27,502.05,27749.78,77.49,412.53,4.6,Temperate,28251.829999999998,0.0180913833773321,319.669497,0.014601885966325013,51.89
City 129,-59.1,64.01,2.42,8.33,421.04,11076.53,76.14,174.22,3.44,Temperate,11497.570000000002,0.03800847300797199,132.651108,0.0151527670629533,59.1
City 130,6.4,38.79,7.45,6.8,1325.54,5880.39,74.23,96.66,3.65,Equatorial,7205.93,0.22537869449228837,71.75071799999999,0.013413952119990063,6.4
City 131,-5.74,-73.69,6.23,1.0,1081.14,19.41,76.18,16.34,1.93,Equatorial,1100.5500000000002,52.97109260166585,12.447812,0.014847121893598653,5.74
City 132,-31.13,-130.82,5.65,5.31,969.82,2860.13,73.42,54.23,2.95,Subtropical,3829.9500000000003,0.3389639757718104,39.81566599999999,0.014159453778769955,31.13
City 133,-44.42,54.59,3.77,6.13,642.03,4365.82,70.29,65.12,2.87,Subtropical,5007.849999999999,0.14702460829619723,45.772848,0.013003584372535123,44.42
City 134,-16.11,85.9,5.87,2.48,1021.14,289.18,73.95,18.43,2.22,Tropical,1310.32,3.5189882142118685,13.628985,0.014065266499786313,16.11
City 135,62.58,-66.37,3.15,9.72,564.8,17701.09,79.3,264.5,4.06,Polar,18265.89,0.03190583710736981,209.74849999999998,0.014480542694607272,62.58
City 136,-17.98,52.14,6.38,6.76,1099.35,5975.51,76.26,106.52,3.52,Tropical,7074.860000000001,0.1839451452436288,81.232152,0.015056128319146949,17.98
City 137,7.44,-37.75,6.42,6.5,1105.28,5104.15,70.84,82.33,3.37,Equatorial,6209.429999999999,0.21650294310647092,58.322572,0.013258865950658918,7.44
City 138,31.39,76.75,4.61,7.74,828.12,8481.57,78.85,141.32,3.59,Subtropical,9309.69,0.09762607323016492,111.43081999999998,0.015179882466548293,31.39
City 139,-12.73,-108.28,6.08,3.61,1035.3,860.55,72.69,25.24,2.53,Equatorial,1895.85,1.2016714061865243,18.346956,0.01331328955349843,12.73
City 140,66.33,140.48,2.53,11.56,449.23,29748.79,72.44,402.77,4.56,Polar,30198.02,0.015100274657400943,291.76658799999996,0.013337629420736855,66.33
City 141,65.12,-76.53,2.89,10.82,500.13,25029.94,72.97,372.29,4.39,Polar,25530.07,0.019980472167645324,271.660013,0.0145824120341229,65.12
City 142,-27.27,-47.6,5.09,9.07,867.78,14027.59,75.77,220.16,4.07,Tropical,14895.37,0.06185796291715703,166.815232,0.014780431771751892,27.27
City 143,4.64,-159.09,6.98,6.41,1251.47,4822.3,75.45,91.3,3.49,Equatorial,6073.77,0.259463437895217,68.88585,0.015031850070055334,4.64
City 144,-20.89,-139.86,6.36,6.16,1089.6,4571.72,74.91,78.85,3.31,Tropical,5661.32,0.23828268514144751,59.066534999999995,0.013927847215843654,20.89
City 145,-22.97,5.71,5.58,4.05,979.86,1310.16,77.18,32.39,2.63,Tropical,2290.02,0.747322981176973,24.998602,0.014143981275272706,22.97
City 146,-55.2,-83.67,3.29,7.89,568.58,9699.04,73.17,142.78,3.38,Temperate,10267.62,0.058616253128853074,104.472126,0.013905851599494331,55.2
City 147,19.24,120.77,4.89,4.55,835.09,1809.69,77.82,39.08,2.67,Tropical,2644.78,0.4611998740811514,30.412055999999996,0.014776276287630728,19.24
City 148,5.35,-174.71,5.31,3.75,905.39,1037.22,71.75,25.58,2.45,Equatorial,1942.6100000000001,0.8720598717034925,18.35365,0.013167851498756825,5.35
City 149,-53.31,-43.53,3.46,10.0,592.65,18035.71,77.83,282.22,4.18,Temperate,18628.36,0.03285798795900139,219.651826,0.015150018573830441,53.31
City 150,-23.78,-58.56,5.29,8.17,902.78,9916.77,76.64,155.25,3.79,Tropical,10819.550000000001,0.0910265109999526,118.98360000000001,0.014349025606425404,23.78
City 151,58.07,-173.04,2.68,9.68,475.52,16492.91,76.83,239.53,3.92,Temperate,16968.43,0.028830034843163325,184.03089899999998,0.014116214640953818,58.07
City 152,-28.86,-135.23,5.1,6.93,892.07,6453.79,74.82,102.57,3.36,Tropical,7345.86,0.13820279203506233,76.74287399999999,0.013962966895639176,28.86
City 153,-41.16,-31.09,4.09,8.47,709.04,11040.27,76.67,172.3,3.72,Subtropical,11749.310000000001,0.06421725037065482,132.10241000000002,0.01466469094780885,41.16
City 154,3.63,-2.57,7.31,3.07,1273.26,551.22,70.8,25.13,2.56,Equatorial,1824.48,2.3057114917967474,17.79204,0.01377378759975445,3.63
City 155,68.13,-34.46,2.27,8.5,407.64,11634.75,78.52,179.31,3.5,Polar,12042.39,0.03503340996497862,140.794212,0.014889901423222468,68.13
City 156,-28.53,11.14,4.63,2.46,829.13,278.8,70.56,14.89,2.0,Tropical,1107.93,2.9632952108649033,10.506384,0.01343947722329028,28.53
City 157,27.38,34.25,5.58,5.0,988.3,2467.44,71.49,45.15,2.83,Tropical,3455.74,0.40037432548492163,32.277735,0.013065219026894385,27.38
City 158,39.01,-176.43,4.16,9.08,744.13,13748.0,75.77,217.73,3.94,Subtropical,14492.13,0.054122481635028,164.974021,0.015024016483429282,39.01
City 159,-29.11,-12.93,5.23,5.15,905.08,2560.04,77.39,53.25,2.89,Tropical,3465.12,0.3534033049073814,41.210175,0.015367433162487879,29.11
City 160,34.67,166.86,4.33,6.87,753.39,6344.76,70.76,97.28,3.19,Subtropical,7098.150000000001,0.11872336804417437,68.835328,0.013704979466480702,34.67
City 161,-12.19,6.85,5.82,6.38,1025.46,4701.1,79.21,81.81,3.34,Equatorial,5726.56,0.21808553624976074,64.801701,0.01428606353552569,12.19
City 162,22.2,63.92,5.49,7.52,967.2,8232.6,79.74,139.92,3.67,Tropical,9199.800000000001,0.11746987951807229,111.57220799999999,0.015209026283180067,22.2
City 163,22.36,-67.73,5.44,3.54,951.23,868.77,76.06,26.66,2.46,Tropical,1820.0,1.0936569437897377,20.277596000000003,0.014648351648351649,22.36
City 164,9.65,98.64,6.56,7.46,1142.24,8239.42,74.81,140.3,3.75,Equatorial,9381.66,0.13861429393162,104.95843,0.014954709507699065,9.65
City 165,-48.26,98.25,3.49,11.64,627.23,31188.81,77.41,492.41,4.9,Temperate,31816.04,0.020110093649175806,381.17458100000005,0.015476784665847792,48.26
City 166,48.59,7.67,2.68,6.03,477.71,4095.43,73.28,66.07,2.72,Temperate,4573.139999999999,0.11661617554797712,48.416095999999996,0.014447403753219889,48.59
City 167,-18.3,171.36,5.5,3.77,959.4,1027.54,74.93,26.99,2.52,Tropical,1986.94,0.9327785015653256,20.223607,0.013583701571260329,18.3
